"Add new contest", "Добави новo състезание"
"Save Contest", "Запази състезание"
"Delete Contest", "Изтрий състезание"
"Save and Continue Edit", "Запази и продължи редакцията"
"Reset", "Изчисти промените"
"Back", "Назад"
"Edit Contest '%s'", "Редакция на състезание '%s'"
"New Contest", "Нова състезание"
"Add New Contestant", "Добави нова съзтезател"
"Add new contestant", "Добави състезател"
"Save Contestant", "Запази съзтезател"
"Delete Contestant", "Изтрий съзтезател"
"Edit Contestant '%s'", "Редакция на съзтезател '%s'"
"New Contestant", "Нова съзтезател"
"General Information", "Основна информация"
"Page", "Страница"
"Go to", "Отиди на"
"Previous page", "Предишна страница"
"Next page", "Следваща страница"
"of %s pages","от %s страници"
"View", "Виж"
"per page", "на страница"
"Total %d records found", "Общо %d записи намерени"
"Reset Filter", "Изчисти филтъра"
"Search", "Търси"
"Title", "Заглавие"
"Description", "Описание"
"Is Active", "Акивен ли е"
"Enable", "Акивен"
"Disable", "Не е активен"
"Created at", "Създаден на"
"Updated at", "Модифициран на"
"ID", "ID"
"First Name", "Собствено име"
"First name", "Собствено име"
"Last Name", "Фамилно име"
"Last name", "Фамилно име"
"Approved", "Одобрен"
"Not Approved", "Не е одобрен"
"Date of birth", "Дата на раждане"
"Country", "Държава"
"City", "Град"
"Email", "Имейл"
"Message", "Съобщение"
"Submit", "Изпрати"
"New contest", "Ново състезание"
"This contest no longer exists.", "Състезанието не съществува."
"The contest has been saved.", "Състезанието беше запазено."
"The contest has been deleted.", "Състезанието беше изтрито."
"Unable to find a contest to delete.", "Състезанието не може да бъде изтрито"
"New contestant", "Нова съзтезател"
"This contestant no longer exists.", "Съзтезателя не съществува."
"The contestant has been saved.", "Съзтезателя беше запазен."
"The contestant has been deleted.", "Съзтезателя беше изтрит."
"Unable to find a contestant to delete.", "Съзтезателя не може да бъде изтрит."
"Add Contestant", "Добави състезател"
"Manage Contestants", "Управление на състезателите"
"There is no such active contest", "Намя такова активно състезание"
"There is no such contest", "Намя такова състезание"
"Select contest", "Изберете състезание"
"Contest description", "Описание на състезанието"
"There is no approved contestant for this contest", "Няма одобрени състезатели за това състезание"
"Contest approved contestant", "Одобрените състезатели"
